IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Standard,Standard to UTC,Daylight_20150308_0200,Daylight to UTC
PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA,37.1319,-76.49299,MST,UTC-7,MDT,UTC -6
PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49657,MST,UTC-7,MDT,UTC -6
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,MST,UTC-7,MDT,UTC -6
RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,MST,UTC-7,MDT,UTC -6
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA,41.59422,-109.06519,MST,UTC-7,MDT,UTC -6
RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806,MST,UTC-7,MDT,UTC -6
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,USA,37.32547,-79.97543,MST,UTC-7,MDT,UTC -6
ROW,Roswell International Air Center,Roswell,NM,USA,33.30156,-104.53056,MST,UTC-7,MDT,UTC -6
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814,MST,UTC-7,MDT,UTC -6
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,MST,UTC-7,MDT,UTC -6
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,MST,UTC-7,MDT,UTC -6
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,MST,UTC-7,MDT,UTC -6
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,MST,UTC-7,MDT,UTC -6
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,MST,UTC-7,MDT,UTC -6
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,MST,UTC-7,MDT,UTC -6
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,PST,UTC -8,PDT,UTC -7
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677,PST,UTC -8,PDT,UTC -7
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753,PST,UTC -8,PDT,UTC -7
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585,PST,UTC -8,PDT,UTC -7
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653,PST,UTC -8,PDT,UTC -7
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873,PST,UTC -8,PDT,UTC -7
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619,-119.71814,PST,UTC -8,PDT,UTC -7
GEG,Spokane International Airport,Spokane,WA,USA,47.61986,-117.53384,PST,UTC -8,PDT,UTC -7
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,PST,UTC -8,PDT,UTC -7
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,PST,UTC -8,PDT,UTC -7
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83777,PST,UTC -8,PDT,UTC -7
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295,PST,UTC -8,PDT,UTC -7
OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,PST,UTC -8,PDT,UTC -7
ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60119,PST,UTC -8,PDT,UTC -7
PSC,Tri-Cities Airport,Pasco,WA,USA,46.26468,-119.11903,PST,UTC -8,PDT,UTC -7
PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625,PST,UTC -8,PDT,UTC -7
RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934,PST,UTC -8,PDT,UTC -7
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,PST,UTC -8,PDT,UTC -7
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037,PST,UTC -8,PDT,UTC -7
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64239,PST,UTC -8,PDT,UTC -7
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,PST,UTC -8,PDT,UTC -7
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,PST,UTC -8,PDT,UTC -7
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,PST,UTC -8,PDT,UTC -7
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,PST,UTC -8,PDT,UTC -7
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,PST,UTC -8,PDT,UTC -7
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,PST,UTC -8,PDT,UTC -7
